-26628,-63588,-92459,-80177
-9115,-19265,-28251,-26914
-31012,-25869,-10147,2107
-16842,-541,13784,15571
-12447,16438,36802,30557
41762,89237,109383,74236
58582,122407,149753,107493
31950,74516,101787,79997
2190,20372,39289,38585
-6942,-1191,15892,16835
-7162,-2192,24484,34151
-15008,-50,49300,66180
-23746,-6125,42981,63420
4210,-15384,-27213,-20627
-15097,-38228,-43845,-22542
-16494,-21049,-12170,1382
-20966,-12344,3018,13776
8228,-1584,-11159,-12559
11141,10977,7425,-895
29215,64212,85041,56712
39616,76835,91078,56869
29614,27878,9952,-14198
33264,31073,17617,-4445
22971,31012,33950,22186
6400,19327,30588,29677
7927,50547,83078,67947
14209,46811,58785,37358
-20796,-26726,-32071,-30537
-15935,-45563,-70953,-62576
-18914,-25001,-23533,-22286
-52380,-71800,-61564,-40452
-83835,-121427,-97958,-51944
-73155,-101099,-76405,-36441
-75275,-109184,-95967,-39648
-88779,-113696,-75614,-14980
-23015,996,48345,58576
5187,43836,91333,78282
-22401,-34742,-33014,-19901
-48655,-61852,-43818,-18291
-55158,-69793,-50331,-23912
-51897,-59091,-34870,-12658
43425,32289,-26194,-58600
18636,-24931,-97591,-111421
-27597,-88548,-136961,-118065
-47832,-88952,-97263,-66430
10497,14964,23646,19756
-11711,-30098,-31443,-11047
-69483,-114717,-100460,-39884
-64166,-100526,-89775,-37933
-32063,11099,75440,81457
-18949,31987,91495,87576
-31970,-20389,5300,15654
-20607,-32311,-36014,-24459
-11726,-3836,17707,25410
984,571,19176,24422
13303,19313,34303,36820
14552,7434,8125,16409
-54952,-80895,-69937,-28642
-45301,-38885,-2412,20568
33420,84636,104710,69029
59661,114334,121092,67749
-44322,-80302,-71177,-44401
-114850,-152557,-105167,-40160
-130333,-139536,-71185,-3220
-101819,-88385,-25530,20743
3898,5703,15988,5222
-31999,-39084,-4536,16754
-87826,-108308,-55434,7910
-105548,-116193,-53585,16012
-1894,-10513,-26746,-23443
-18734,-39949,-64406,-50818
-37861,-94996,-142536,-110505
-36400,-83313,-119503,-93536
10748,-4313,-29913,-25168
44185,44605,31676,21438
94414,128392,121617,80201
64331,99716,111001,84553
-20065,-38314,-38941,-18487
-34273,-50923,-34859,-5469
-27270,-27908,-4251,16467
-29748,-19889,14646,31802
-3384,-17363,-24510,-10472
9009,13644,9739,4068
43376,78402,76707,32902
55724,89645,81478,28682
3622,7928,13448,13340
-400,866,-4932,-3558
-3494,-16742,-46455,-41642
4195,-13406,-50875,-50655
-19618,6026,49412,66046
-6557,22726,53906,60031
-6353,-31064,-71502,-62433
-2557,-48421,-112572,-104814
10323,-17239,-65211,-78935
-20077,-103778,-180759,-163396
-72921,-188733,-252709,-189214
-79315,-166298,-195546,-127840
-22457,-68970,-59986,-34476
-92769,-144809,-83148,360
-127749,-127743,-15024,80216
-119171,-80762,32890,107507
-47266,-63396,-40962,-5291
-63205,-67076,-22633,13758
-18944,2284,39210,41336
7621,30027,51715,35608
15020,24679,38628,37475
6610,25564,60578,76676
2506,40170,97760,112775
-15761,19696,74163,91816
77234,113320,90290,41848
131568,170060,115520,42562
114699,116397,35097,-17403
61457,37718,-30418,-47404
-7021,25990,80143,91914
10546,78549,154966,149326
42857,127334,182636,150022
47257,104274,123446,86225
23771,34883,24106,1138
2859,907,-8707,-7554
-44806,-71988,-75565,-41225
-68552,-86401,-67658,-22378
-51661,-40504,-2372,23021
-53932,-32682,6410,27350
-12142,10137,24500,19619
22199,37884,30695,5882
-23372,-87113,-124386,-84810
-32190,-78479,-100085,-60049
50753,86533,83539,48447
78242,143305,143609,78124
31486,46435,19838,-14068
32667,34895,-558,-33641
14133,1729,-25304,-37660
-12311,-27244,-31226,-22169
63,16315,19195,12462
-15324,1224,10794,4160
-42892,-44046,-26949,-16600
-46014,-57422,-36805,-21334
7425,43702,81358,81007
36490,117527,166853,136384
71569,135402,130705,74892
66512,99302,68169,14451
-8664,-46863,-49489,-28043
-41934,-81804,-61594,-21894
-48740,-46226,3008,34688
-34601,-14299,32340,48410
10028,15812,8471,225
-364,3071,2680,-1509
-915,3845,11671,3957
-9563,-2628,15452,13054
9359,-41907,-79740,-69075
-1842,-52620,-65698,-37249
23928,38915,68841,78523
14881,51552,91467,99008
-1948,-3043,-3285,-2190
-2962,-4624,-4986,-3324
-3042,-4743,-5103,-3402
-2028,-3162,-3402,-2268
21963,32611,31944,21296
33316,49471,48465,32310
34059,50580,49563,33042
22706,33720,33042,22028
12643,18860,18651,12434
19319,28820,28503,19002
20028,29880,29556,19704
13352,19920,19704,13136
10663,16335,17016,11344
15936,24408,25416,16944
15819,24219,25200,16800
10546,16146,16800,11200
-18317,-27268,-26853,-17902
-27733,-41290,-40671,-27114
-28248,-42066,-41454,-27636
-18832,-28044,-27636,-18424
-559,-1177,-1854,-1236
-1309,-2494,-3555,-2370
-2250,-3951,-5103,-3402
-1500,-2634,-3402,-2268
13679,20672,20979,13986
20987,31715,32184,21456
21924,33129,33615,22410
14616,22086,22410,14940
-125,-444,-957,-638
-375,-963,-1764,-1176
-750,-1557,-2421,-1614
-500,-1038,-1614,-1076
626,1109,1449,966
1094,1910,2448,1632
1404,2403,2997,1998
936,1602,1998,1332
-4739,-6784,-6135,-4090
-7918,-11401,-10449,-6966
-9537,-13851,-12942,-8628
-6358,-9234,-8628,-5752
-14181,-21637,-22368,-14912
-21664,-33070,-34218,-22812
-22449,-34299,-35550,-23700
-14966,-22866,-23700,-15800
1237,1206,-93,-62
1149,723,-1278,-852
-264,-1449,-3555,-2370
-176,-966,-2370,-1580
-3376,-5907,-7593,-5062
-5277,-9201,-11772,-7848
-5703,-9882,-12537,-8358
-3802,-6588,-8358,-5572
19879,30326,31341,20894
30497,46532,48105,32070
31854,48618,50292,33528
21236,32412,33528,22352
22868,34781,35739,23826
34850,53000,54450,36300
35946,54657,56133,37422
23964,36438,37422,24948
17113,25954,26523,17682
25978,39400,40266,26844
26595,40338,41229,27486
17730,26892,27486,18324
-19366,-28790,-28272,-18848
-29681,-44135,-43362,-28908
-30945,-46035,-45270,-30180
-20630,-30690,-30180,-20120
-17460,-25940,-25440,-16960
-26426,-39251,-38475,-25650
-26898,-39933,-39105,-26070
-17932,-26622,-26070,-17380
1678,2026,1044,696
2407,2863,1368,912
2187,2511,972,648
1458,1674,648,432
12822,19211,19167,12778
19688,29498,29430,19620
20598,30861,30789,20526
13732,20574,20526,13684
1862,3124,3786,2524
3028,5047,6057,4038
3498,5769,6813,4542
2332,3846,4542,3028
21007,31437,31290,20860
31914,47754,47520,31680
32721,48951,48690,32460
21814,32634,32460,21640
-8968,-13920,-14856,-9904
-13599,-21105,-22518,-15012
-13893,-21555,-22986,-15324
-9262,-14370,-15324,-10216
19442,29834,31176,20784
29039,44570,46593,31062
28791,44208,46251,30834
19194,29472,30834,20556
-11765,-17721,-17868,-11912
-18165,-27360,-27585,-18390
-19200,-28917,-29151,-19434
-12800,-19278,-19434,-12956
5977,9373,10188,6792
9190,14404,15642,10428
9639,15093,16362,10908
6426,10062,10908,7272
-19585,-29393,-29424,-19616
-29486,-44252,-44298,-29532
-29703,-44577,-44622,-29748
-19802,-29718,-29748,-19832
-8588,-12119,-10593,-7062
-12371,-17393,-15066,-10044
-11349,-15822,-13419,-8946
-7566,-10548,-8946,-5964
-8258,-11946,-11064,-7376
-12210,-17643,-16299,-10866
-11856,-17091,-15705,-10470
-7904,-11394,-10470,-6980
10788,15910,15366,10244
16555,24433,23634,15756
17301,25569,24804,16536
11534,17046,16536,11024
7546,11692,12438,8292
12001,18577,19728,13152
13365,20655,21870,14580
8910,13770,14580,9720
8590,12585,11985,7990
13188,19326,18414,12276
13794,20223,19287,12858
9196,13482,12858,8572
16501,24425,23772,15848
24266,35888,34866,23244
23295,34389,33282,22188
15530,22926,22188,14792
-8414,-12594,-12540,-8360
-12756,-19104,-19044,-12696
