8391,6342,7221,31631
987,-8214,15404,33538
8032,11838,7903,2228
17307,21092,324,-16251
5836,4607,-11612,-15069
-3033,-7566,-11293,-5117
-1044,519,3098,5943
3021,-537,-817,4081
2662,3619,443,-4141
-1208,824,-783,-3856
-4827,660,7157,156
2299,-1472,-12156,-30062
210,2520,-5488,-21092
3398,3127,-14284,-2513
-875,-15624,-14103,-3330
-6689,-8669,3706,7903
-2262,11741,14775,492
4798,13716,-4565,-16359
-2728,-3291,9568,3291
13010,37446,22658,-5014
28050,41352,9795,4619
17258,3322,-9944,3612
-5364,-3884,11314,13127
-8199,11498,24391,3711
2621,17062,6275,-3981
-632,10317,8442,6875
-8665,-14053,-3746,775
-17955,-14153,-10325,-6910
-7355,-17852,-24516,-11043
-8026,-13744,-6233,-305
-5759,-6482,-12497,-14038
2369,-14510,-21658,-1448
-2631,-12460,6640,17276
-1009,-3669,3039,-4905
-2139,4628,21124,5561
-106,11547,10376,1940
7213,7346,5207,7609
-291,1303,10538,14296
18229,-8871,-11590,6158
10752,-2883,-360,3218
4650,11565,5055,-8000
13332,3192,-13530,-10268
6051,-27,-4608,-2198
-1079,-8341,4314,1741
-8686,11738,19137,-803
7026,22349,11434,435
-6628,-5434,11800,8823
-313,5172,8994,8406
5724,-2261,3386,18026
-7757,-2943,15049,11405
3347,-2307,6864,9870
-13143,-10493,-1375,-1085
2946,-17806,-30115,-20335
3320,-27750,-29623,-3239
2310,7414,2877,-11502
7910,-10912,-24064,-469
12379,-21412,-10821,3821
1944,10048,11578,363
-6047,1025,23394,19972
-15294,-11689,15016,12619
-5035,4106,-4087,-20547
-9311,-16388,-32873,-22670
-11415,6695,2434,-14362
3637,-8032,-12584,-2402
-10980,-10917,15293,13728
-7712,17162,13592,-12056
-2059,14061,23091,9733
8674,21086,24384,17028
9707,7113,16350,16907
-8221,-6409,1832,3496
-11178,-4502,8414,5661
5179,3559,-2663,5423
8504,-8724,-781,18097
-11811,-11715,18402,27702
3530,-3792,-6417,-1816
7266,-2794,-13177,783
-4590,-14717,-3537,1622
-5618,3959,12159,3532
11349,7280,-7590,-4812
-4521,-5880,-2222,2065
-4007,6920,9648,2016
9414,27289,27571,17634
-254,13297,3150,-9857
5718,10853,-4886,-2605
5738,-2088,-455,10208
-249,2999,13382,6542
4500,8288,18922,16986
-11704,6843,23698,8341
-14,6296,-10018,-20571
-7544,-14673,-19610,-12377
-13037,4803,3561,-10344
-4630,-6050,-9648,-5855
-13601,-19865,-13333,-4833
-19590,-20099,-14611,-3664
-14036,-33037,-19271,-671
-4920,-23282,-14638,-5068
-9189,-4315,8992,15676
1325,17366,29657,23957
-10234,-8906,-4900,-3747
946,-4207,-7441,-3813
-13840,-12414,-856,2466
-15845,-9798,-6338,-7930
2721,20469,8695,-15660
8298,11937,-19831,-31804
-6213,-18576,-32431,-20390
-10786,-12257,-8689,-4920
3190,12624,13341,8366
3417,-8734,-8874,6923
2078,-24286,-22854,-7949
-14402,-27556,-13506,6376
-13482,-7218,19877,21467
-12564,1201,23285,16828
3178,9936,7774,-1655
-12230,-21491,-19478,-11100
2993,-13470,-5238,10237
-7016,5767,13128,7283
10253,2457,-8303,7315
12583,-10741,1185,16212
-5078,-23633,-22486,-7436
-8579,-17662,-3457,4737
-8664,18315,32359,16851
14982,35028,22314,-3775
-10724,-5084,-13343,-7095
-6822,-21692,-22637,-1326
-32297,-38231,-1727,5968
-23249,-8042,15161,1341
-18337,4513,11642,1682
11469,6253,-9837,1735
-3841,-32056,-8890,20422
-32110,-37541,-1755,6235
-3194,2761,1603,-8077
4603,-6064,-10222,-6747
-6555,-10285,-12596,-14779
-3878,-15682,-34317,-31844
378,-19713,-13654,-7162
15115,14968,-1407,-2945
18454,14983,15481,31125
19429,11465,19904,18043
-5651,-16892,-7752,4600
6040,-3562,-10497,-4838
-5272,-8936,1599,11419
-7320,-8220,8260,10524
14011,-5047,-15084,392
-3357,-8991,1105,3115
-7316,19709,18614,-4074
10244,33087,15307,-1165
6610,4701,-47,4374
-3096,-4593,4353,4660
-2540,-1482,-3040,-13858
6955,1262,-14561,-19196
-499,-15323,4491,19174
-2485,-1311,21153,21228
2552,10509,3639,-9654
2649,-18267,-49503,-49296
-5584,9513,1267,-18828
2183,4211,-28829,-32545
687,-31087,-56139,-28322
-12296,-36619,-30844,-12535
-8992,-4887,-8110,925
12045,-20623,-38403,11112
-12314,-57998,-5527,40363
-32240,-16619,43936,28735
-3263,-17438,-14952,3933
-8332,-18233,-1178,6906
-15219,-720,12259,6790
6733,16827,10147,6412
-1762,-1485,7452,9064
15629,2638,2207,18752
8841,-17251,9295,29906
-6949,-402,26162,26453
11064,12928,10649,1198
17728,35514,25437,4564
29818,24516,2406,-1692
14653,-7530,-26145,-21973
4543,-7164,5551,22566
207,-4607,27460,36337
156,17411,34992,22420
9880,19810,22025,6788
-12003,12028,20445,-460
12806,10940,-9333,-9514
3209,-24121,-13064,4372
-26481,-21159,-4785,-8901
-11859,-5461,4563,4721
-14409,-19932,6594,7143
-6724,4453,10093,-5764
4110,20360,5592,-4039
13300,-9183,-34458,-20675
2904,-30393,-29283,-394
-8358,-460,17452,7309
21115,65945,47611,5752
-7451,12493,12420,-10997
5031,21413,2529,-18020
2004,-823,-12721,-6852
-5258,-8234,-2212,-384
-4670,1611,5998,1730
-2000,5122,10254,-5520
-15288,-99,296,-8598
-15255,-15372,-11704,-1328
4112,-1744,5234,15332
2962,2095,31043,29398
-1053,30118,44760,10617
13847,23600,-11970,-28956
11311,-5836,-20411,6090
1471,-15610,-17788,4066
-15016,-18254,-1671,7820
-3515,2184,21973,20288
-1550,2930,7959,1363
3332,5316,-2175,-6922
-6335,-4057,-2349,615
-5626,6455,9284,5504
8836,-8524,-29582,-19008
11188,-2141,-21684,1199
6583,-17784,488,31338
15839,10243,36183,30999
-406,-528,-528,-528
-447,-567,-567,-567
-447,-567,-567,-567
-447,-567,-567,-567
5469,5141,5141,5141
5846,5507,5507,5507
5846,5507,5507,5507
5846,5507,5507,5507
3034,2933,2933,2933
3392,3284,3284,3284
